DUVELA EXAM · TELC DEUTSCH B1 · ELEVENLABS AUDIO SCRIPTS
Format: relative MP3 path | German transcript

mt1/b1m1-h1-1.mp3 | Ich wohne seit drei Jahren in Leipzig. Am Anfang kannte ich kaum jemanden. Seit ich bei einem Projekt im Stadtteil mitmache, treffe ich regelmäßig Menschen aus der Nachbarschaft und fühle mich hier wirklich zu Hause.
mt1/b1m1-h1-2.mp3 | Mein Arbeitsweg durch Leipzig dauert normalerweise zwanzig Minuten. Heute nehme ich jedoch nicht die Straßenbahnlinie 4, weil es eine Umleitung gibt. Ich fahre mit dem Fahrrad und bin wahrscheinlich sogar etwas früher im Büro.
mt1/b1m1-h1-3.mp3 | Für einen Kurs in Leipzig musste ich zunächst selbst bezahlen. Nach dem erfolgreichen Abschluss hat mein Arbeitgeber aber die Hälfte der Kursgebühr übernommen. Darüber habe ich mich sehr gefreut.
mt1/b1m1-h1-4.mp3 | Nora bestellt nur selten im Internet. Kleidung probiert Nora lieber im Geschäft an, und bei technischen Geräten ist eine persönliche Beratung wichtiger als der niedrigste Preis.
mt1/b1m1-h1-5.mp3 | Am Wochenende wollte ich eigentlich ausruhen. Dann hat mich Nora gefragt, ob ich beim Nachbarschaftsfest helfen kann. Jetzt übernehme ich zwei Stunden am Informationsstand und freue mich schon darauf.
mt1/b1m1-h2.mp3 | Moderatorin: Guten Abend, Frau Berger. Sie organisieren in Leipzig das Nachbarschaftsfest. Wann findet die Veranstaltung statt? Frau Berger: Am Samstag, 21. September. Wir beginnen um 14 Uhr. Moderatorin: Wo treffen sich die Gäste? Frau Berger: Innenhof des Bürgerhauses. Die Anreise ist am einfachsten mit der Straßenbahnlinie 4. Moderatorin: Muss man Eintritt bezahlen? Frau Berger: Der Eintritt ist kostenlos. Eine Anmeldung ist trotzdem nötig, und zwar bis zum 15. September. Moderatorin: Wer kann teilnehmen? Frau Berger: Erwachsene, Jugendliche und Familien sind willkommen. Kinder unter zwölf Jahren müssen von einer erwachsenen Person begleitet werden. Moderatorin: Was erwartet die Besucher? Frau Berger: Es gibt Informationen, praktische Aktionen und ein kleines Kulturprogramm. Für Essen sorgen wir auch: Kuchen und internationale Salate. Moderatorin: Werden noch Helfer gesucht? Frau Berger: Ja, besonders für den Aufbau am Vormittag und das Aufräumen am Abend. Interessierte melden sich direkt bei mir. Moderatorin: Und falls das Wetter schlecht ist? Frau Berger: Dann nutzen wir großer Saal im Bürgerhaus. Die Veranstaltung fällt also nicht aus. Moderatorin: Vielen Dank für die Informationen.
mt1/b1m1-h3-1.mp3 | Achtung am Hauptbahnhof Leipzig: Der Regionalexpress nach Berlin fährt heute nicht von Gleis acht, sondern von Gleis zwölf. Die Abfahrtszeit ändert sich nicht.
mt1/b1m1-h3-2.mp3 | Das Bürgerbüro Leipzig öffnet morgen wegen einer internen Schulung erst um elf Uhr. Bereits vereinbarte Termine am Vormittag werden telefonisch neu vergeben.
mt1/b1m1-h3-3.mp3 | Und nun das Wetter für Leipzig: Am Morgen bleibt es trocken. Gegen Mittag ziehen Wolken auf, ab dem späten Nachmittag muss mit kräftigem Regen gerechnet werden.
mt1/b1m1-h3-4.mp3 | Sie hören eine Nachricht der Praxis Nora. Ihr Termin wurde von Donnerstag auf Freitag, neun Uhr fünfzehn verschoben. Bitte bestätigen Sie den neuen Termin.
mt1/b1m1-h3-5.mp3 | Im Kulturzentrum Leipzig beginnt gleich der Informationsabend zum Thema Nachbarschaftsfest. Eintrittskarten gibt es noch an der Abendkasse. Angemeldete zahlen sechs Euro, alle anderen neun Euro.
mt2/b1m2-h1-1.mp3 | Ich wohne seit drei Jahren in Dortmund. Am Anfang kannte ich kaum jemanden. Seit ich bei einem Projekt im Stadtteil mitmache, treffe ich regelmäßig Menschen aus der Nachbarschaft und fühle mich hier wirklich zu Hause.
mt2/b1m2-h1-2.mp3 | Mein Arbeitsweg durch Dortmund dauert normalerweise zwanzig Minuten. Heute nehme ich jedoch nicht die Buslinie 52, weil es eine Umleitung gibt. Ich fahre mit dem Fahrrad und bin wahrscheinlich sogar etwas früher im Büro.
mt2/b1m2-h1-3.mp3 | Für einen Kurs in Dortmund musste ich zunächst selbst bezahlen. Nach dem erfolgreichen Abschluss hat mein Arbeitgeber aber die Hälfte der Kursgebühr übernommen. Darüber habe ich mich sehr gefreut.
mt2/b1m2-h1-4.mp3 | Emre bestellt nur selten im Internet. Kleidung probiert Emre lieber im Geschäft an, und bei technischen Geräten ist eine persönliche Beratung wichtiger als der niedrigste Preis.
mt2/b1m2-h1-5.mp3 | Am Wochenende wollte ich eigentlich ausruhen. Dann hat mich Emre gefragt, ob ich beim Tag der offenen Tür im Bildungszentrum helfen kann. Jetzt übernehme ich zwei Stunden am Informationsstand und freue mich schon darauf.
mt2/b1m2-h2.mp3 | Moderatorin: Guten Abend, Herr Yilmaz. Sie organisieren in Dortmund den Tag der offenen Tür im Bildungszentrum. Wann findet die Veranstaltung statt? Herr Yilmaz: Am Freitag, 11. Oktober. Wir beginnen um 16 Uhr. Moderatorin: Wo treffen sich die Gäste? Herr Yilmaz: Bildungszentrum Nord. Die Anreise ist am einfachsten mit der Buslinie 52. Moderatorin: Muss man Eintritt bezahlen? Herr Yilmaz: Der Eintritt ist drei Euro für Material. Eine Anmeldung ist trotzdem nötig, und zwar bis zum 7. Oktober. Moderatorin: Wer kann teilnehmen? Herr Yilmaz: Erwachsene, Jugendliche und Familien sind willkommen. Kinder unter zwölf Jahren müssen von einer erwachsenen Person begleitet werden. Moderatorin: Was erwartet die Besucher? Herr Yilmaz: Es gibt Informationen, praktische Aktionen und ein kleines Kulturprogramm. Für Essen sorgen wir auch: Kaffee, Tee und belegte Brötchen. Moderatorin: Werden noch Helfer gesucht? Herr Yilmaz: Ja, besonders für den Aufbau am Vormittag und das Aufräumen am Abend. Interessierte melden sich direkt bei mir. Moderatorin: Und falls das Wetter schlecht ist? Herr Yilmaz: Dann nutzen wir alle Angebote finden im Gebäude statt. Die Veranstaltung fällt also nicht aus. Moderatorin: Vielen Dank für die Informationen.
mt2/b1m2-h3-1.mp3 | Achtung am Hauptbahnhof Dortmund: Der Regionalexpress nach Berlin fährt heute nicht von Gleis acht, sondern von Gleis zwölf. Die Abfahrtszeit ändert sich nicht.
mt2/b1m2-h3-2.mp3 | Das Bürgerbüro Dortmund öffnet morgen wegen einer internen Schulung erst um elf Uhr. Bereits vereinbarte Termine am Vormittag werden telefonisch neu vergeben.
mt2/b1m2-h3-3.mp3 | Und nun das Wetter für Dortmund: Am Morgen bleibt es trocken. Gegen Mittag ziehen Wolken auf, ab dem späten Nachmittag muss mit kräftigem Regen gerechnet werden.
mt2/b1m2-h3-4.mp3 | Sie hören eine Nachricht der Praxis Emre. Ihr Termin wurde von Donnerstag auf Freitag, neun Uhr fünfzehn verschoben. Bitte bestätigen Sie den neuen Termin.
mt2/b1m2-h3-5.mp3 | Im Kulturzentrum Dortmund beginnt gleich der Informationsabend zum Thema Tag der offenen Tür im Bildungszentrum. Eintrittskarten gibt es noch an der Abendkasse. Angemeldete zahlen sechs Euro, alle anderen neun Euro.
mt3/b1m3-h1-1.mp3 | Ich wohne seit drei Jahren in Freiburg. Am Anfang kannte ich kaum jemanden. Seit ich bei einem Projekt im Stadtteil mitmache, treffe ich regelmäßig Menschen aus der Nachbarschaft und fühle mich hier wirklich zu Hause.
mt3/b1m3-h1-2.mp3 | Mein Arbeitsweg durch Freiburg dauert normalerweise zwanzig Minuten. Heute nehme ich jedoch nicht die Regionalzug R7, weil es eine Umleitung gibt. Ich fahre mit dem Fahrrad und bin wahrscheinlich sogar etwas früher im Büro.
mt3/b1m3-h1-3.mp3 | Für einen Kurs in Freiburg musste ich zunächst selbst bezahlen. Nach dem erfolgreichen Abschluss hat mein Arbeitgeber aber die Hälfte der Kursgebühr übernommen. Darüber habe ich mich sehr gefreut.
mt3/b1m3-h1-4.mp3 | Sofia bestellt nur selten im Internet. Kleidung probiert Sofia lieber im Geschäft an, und bei technischen Geräten ist eine persönliche Beratung wichtiger als der niedrigste Preis.
mt3/b1m3-h1-5.mp3 | Am Wochenende wollte ich eigentlich ausruhen. Dann hat mich Sofia gefragt, ob ich beim Informationsabend für eine Gruppenreise helfen kann. Jetzt übernehme ich zwei Stunden am Informationsstand und freue mich schon darauf.
mt3/b1m3-h2.mp3 | Moderatorin: Guten Abend, Frau Keller. Sie organisieren in Freiburg den Informationsabend für eine Gruppenreise. Wann findet die Veranstaltung statt? Frau Keller: Am Dienstag, 6. Mai. Wir beginnen um 18:30 Uhr. Moderatorin: Wo treffen sich die Gäste? Frau Keller: Reisezentrum am Hauptbahnhof. Die Anreise ist am einfachsten mit dem Regionalzug R7. Moderatorin: Muss man Eintritt bezahlen? Frau Keller: Der Eintritt ist fünf Euro Eintritt. Eine Anmeldung ist trotzdem nötig, und zwar bis zum 30. April. Moderatorin: Wer kann teilnehmen? Frau Keller: Erwachsene, Jugendliche und Familien sind willkommen. Kinder unter zwölf Jahren müssen von einer erwachsenen Person begleitet werden. Moderatorin: Was erwartet die Besucher? Frau Keller: Es gibt Informationen, praktische Aktionen und ein kleines Kulturprogramm. Für Essen sorgen wir auch: Getränke und kleine Snacks. Moderatorin: Werden noch Helfer gesucht? Frau Keller: Ja, besonders für den Aufbau am Vormittag und das Aufräumen am Abend. Interessierte melden sich direkt bei mir. Moderatorin: Und falls das Wetter schlecht ist? Frau Keller: Dann nutzen wir der Termin findet unabhängig vom Wetter statt. Die Veranstaltung fällt also nicht aus. Moderatorin: Vielen Dank für die Informationen.
mt3/b1m3-h3-1.mp3 | Achtung am Hauptbahnhof Freiburg: Der Regionalexpress nach Berlin fährt heute nicht von Gleis acht, sondern von Gleis zwölf. Die Abfahrtszeit ändert sich nicht.
mt3/b1m3-h3-2.mp3 | Das Bürgerbüro Freiburg öffnet morgen wegen einer internen Schulung erst um elf Uhr. Bereits vereinbarte Termine am Vormittag werden telefonisch neu vergeben.
mt3/b1m3-h3-3.mp3 | Und nun das Wetter für Freiburg: Am Morgen bleibt es trocken. Gegen Mittag ziehen Wolken auf, ab dem späten Nachmittag muss mit kräftigem Regen gerechnet werden.
mt3/b1m3-h3-4.mp3 | Sie hören eine Nachricht der Praxis Sofia. Ihr Termin wurde von Donnerstag auf Freitag, neun Uhr fünfzehn verschoben. Bitte bestätigen Sie den neuen Termin.
mt3/b1m3-h3-5.mp3 | Im Kulturzentrum Freiburg beginnt gleich der Informationsabend zum Thema Informationsabend für eine Gruppenreise. Eintrittskarten gibt es noch an der Abendkasse. Angemeldete zahlen sechs Euro, alle anderen neun Euro.
mt4/b1m4-h1-1.mp3 | Ich wohne seit drei Jahren in Hannover. Am Anfang kannte ich kaum jemanden. Seit ich bei einem Projekt im Stadtteil mitmache, treffe ich regelmäßig Menschen aus der Nachbarschaft und fühle mich hier wirklich zu Hause.
mt4/b1m4-h1-2.mp3 | Mein Arbeitsweg durch Hannover dauert normalerweise zwanzig Minuten. Heute nehme ich jedoch nicht die U-Bahnlinie 6, weil es eine Umleitung gibt. Ich fahre mit dem Fahrrad und bin wahrscheinlich sogar etwas früher im Büro.
mt4/b1m4-h1-3.mp3 | Für einen Kurs in Hannover musste ich zunächst selbst bezahlen. Nach dem erfolgreichen Abschluss hat mein Arbeitgeber aber die Hälfte der Kursgebühr übernommen. Darüber habe ich mich sehr gefreut.
mt4/b1m4-h1-4.mp3 | Mila bestellt nur selten im Internet. Kleidung probiert Mila lieber im Geschäft an, und bei technischen Geräten ist eine persönliche Beratung wichtiger als der niedrigste Preis.
mt4/b1m4-h1-5.mp3 | Am Wochenende wollte ich eigentlich ausruhen. Dann hat mich Mila gefragt, ob ich beim Gesundheits- und Umwelttag helfen kann. Jetzt übernehme ich zwei Stunden am Informationsstand und freue mich schon darauf.
